CPU%,RAM_USADA,RAM_LIVRE,RAM_TOTAL
1%,0.452206 GB,13.1746 GB,14.6125 GB
1%,0.452034 GB,13.1745 GB,14.6125 GB
1%,0.452522 GB,13.1743 GB,14.6125 GB
1%,0.451942 GB,13.1746 GB,14.6125 GB
1%,0.451614 GB,13.1749 GB,14.6125 GB
1%,0.452328 GB,13.1745 GB,14.6125 GB
1%,0.452351 GB,13.1747 GB,14.6125 GB
1%,0.45256 GB,13.1743 GB,14.6125 GB
1%,0.452396 GB,13.1744 GB,14.6125 GB
1%,0.452522 GB,13.1741 GB,14.6125 GB
1%,0.45208 GB,13.1747 GB,14.6125 GB
1%,0.452583 GB,13.1742 GB,14.6125 GB
1%,0.452419 GB,13.1744 GB,14.6125 GB
1%,0.452713 GB,13.1741 GB,14.6125 GB
1%,0.452427 GB,13.1746 GB,14.6125 GB
1%,0.452049 GB,13.1745 GB,14.6125 GB
1%,0.452103 GB,13.175 GB,14.6125 GB
1%,0.453373 GB,13.1734 GB,14.6125 GB
1%,0.45303 GB,13.1735 GB,14.6125 GB
1%,0.452602 GB,13.174 GB,14.6125 GB
1%,0.453098 GB,13.1737 GB,14.6125 GB
1%,0.453175 GB,13.1734 GB,14.6125 GB
1%,0.452805 GB,13.1737 GB,14.6125 GB
1%,0.453091 GB,13.1737 GB,14.6125 GB
